1	García	1 470 005
2	González	925 678
3	Rodríguez	924 955
4	Fernández	917 924
5	López	871 146
6	Martínez	833 673
7	Sánchez	817 482
8	Pérez	778 876
9	Gómez	491 254
10	Martin	489 958
11	Jiménez	392 897
12	Ruiz	367 518
13	Hernández	359 932
14	Diaz	338 419
15	Moreno	319 928
16	Muñoz	282 083
17	Álvarez	281 054
18	Romero	220 156
19	Alonso	197 597
20	Gutiérrez	194 058
21	Navarro	178 198
22	Torres	168 281
23	Domínguez	157 775
24	Vázquez	147 740
25	Ramos	144 194
26	Gil	140 210
27	Ramírez	135 138
28	Serrano	131 952
29	Blanco	123 082
30	Molina	121 062
31	Morales	119 817
32	Suarez	119 526
33	Ortega	117 577
34	Delgado	116 452
35	Castro	115 254
36	Ortiz	106 752
37	Rubio	104 569
38	Marín	103 969
39	Sanz	93 314
40	Núñez	90 267
41	Iglesias	89 197
42	Medina	87 279
43	Garrido	85 476
44	Cortes	84 505
45	Castillo	83 632
46	Santos	83 380
47	Lozano	79 663
48	Guerrero	78 882
49	Cano	77 221
50	Prieto	73 631
51	Méndez	71 964
52	Cruz	70 148
53	Calvo	70 078
54	Gallego	69 497
55	Vidal	68 802
56	León	68 646
57	Márquez	68 625
58	Herrera	68 519
59	Peña	68 270
60	Flores	67 853
61	Cabrera	67 576
62	Campos	65 813
63	Vega	64 397
64	Fuentes	63 887
65	Carrasco	63 161
66	Diez	63 122
67	Caballero	60 589
68	Reyes	60 290
69	Nieto	60 207
70	Aguilar	58 968
71	Pascual	58 052
72	Santana	57 786
73	Herrero	57 757
74	Lorenzo	56 430
75	Montero	56 289
76	Hidalgo	56 221
77	Giménez	55 797
78	Ibáñez	55 219
79	Ferrer	54 510
80	Duran	53 755
81	Santiago	53 421
82	Benítez	52 583
83	Mora	52 404
84	Vicente	52 403
85	Vargas	52 198
86	Arias	51 914
87	Carmona	51 649
88	Crespo	49 794
89	Román	48 345
90	Pastor	48 090
91	Soto	47 731
92	Sáez	47 127
93	Velasco	46 696
94	Moya	45 951
95	Soler	45 679
96	Parra	45 143
97	Esteban	45 122
98	Bravo	44 666
99	Gallardo	44 648
100	Rojas	43 935
